SKU,Supplier,Product / Notes,UOM,On Hand,Notes,Incoming (Open),Allocated,Available Now,Available Future
FG-CF-LB,Whole Herb Company,Campfire Blend,lb,,,,,,
FG-CM-LB,Whole Herb Company,Chamomile Mint,lb,,,,,,
FG-CC-LB,Whole Herb Company,Citrus Chamomile,lb,,,,,,
FG-CA-LB,Whole Herb Company,Coconut Assam,lb,,,,,,
FG-CCHAI-LB,Whole Herb Company,Coconut Chai,lb,,,,,,
FG-DT-LB,Whole Herb Company,Detox Tea,lb,,,,,,
FG-EG-LB,Whole Herb Company,Earl Grey,lb,,,,,,
FG-EGC-LB,Whole Herb Company,Earl Grey Chai,lb,,,,,,
FG-EB-LB,Whole Herb Company,English Breakfast,lb,,,,,,
FG-FCSC-LB,Whole Herb Company,Fresh Crafted Spiced Chai,lb,,,,,,
FG-GP-LB,Whole Herb Company,Ginger Peach,lb,,,,,,
FG-JT-LB,Whole Herb Company,Jasmine Tea,lb,,,,,,
FG-LT-LB,Whole Herb Company,Lavender Tea,lb,,,,,,
FG-LGT-LB,Whole Herb Company,Lemon Ginger Tonic,lb,,,,,,
FG-LM-LB,Whole Herb Company,Lemon Mint,lb,,,,,,
FG-MT-LB,Whole Herb Company,Mango Tea,lb,,,,,,
FG-NB-LB,Whole Herb Company,NW Breakfast,lb,,,,,,
FG-OSCT-LB,Whole Herb Company,Orange Spice Cinnamon,lb,,,,,,
RM-PeppermintLeaf,Whole Herb Company,Peppermint Leaf,lb,,,,,,
FG-RKT-LB,Whole Herb Company,Rice Krispy,lb,,,,,,
FG-RC-LB,Whole Herb Company,Rooibos Chai,lb,,,,,,
FG-SC-LB,Whole Herb Company,Sleepy Chai,lb,,,,,,
FG-ST-LB,Whole Herb Company,Sore Throat,lb,,,,,,
FG-SGT-LB,Whole Herb Company,Strawberry Green,lb,,,,,,
FG-TG-LB,Whole Herb Company,Tropical Green,lb,,,,,,
FG-WBH-LB,Whole Herb Company,Wild Berry Hibiscus,lb,,,,,,
RM-GreenTeaChunMee,GS Haly,Green Tea (Chun Mee),lb,,,,,,
PKG-BB-24BAGS,TricorBraun Flex,BB-24BAGS Packaging,ea,,,,,,
PKG-BB-LL,TricorBraun Flex,BB-LL Packaging,ea,,,,,,
PKG-BT-24BAGS,TricorBraun Flex,BT-24BAGS Packaging,ea,,,,,,
PKG-BT-LL,TricorBraun Flex,BT-LL Packaging,ea,,,,,,
PKG-CA-24BAGS,TricorBraun Flex,CA-24BAGS Packaging,ea,,,,,,
PKG-CA-LL,TricorBraun Flex,CA-LL Packaging,ea,,,,,,
PKG-CC-24BAGS,TricorBraun Flex,CC-24BAGS Packaging,ea,,,,,,
PKG-CC-LL,TricorBraun Flex,CC-LL Packaging,ea,,,,,,
PKG-CCHAI-24BAGS,TricorBraun Flex,CCHAI-24BAGS Packaging,ea,,,,,,
PKG-CCHAI-LL,TricorBraun Flex,CCHAI-LL Packaging,ea,,,,,,
PKG-CF-24BAGS,TricorBraun Flex,CF-24BAGS Packaging,ea,,,,,,
PKG-CF-LL,TricorBraun Flex,CF-LL Packaging,ea,,,,,,
PKG-CM-24BAGS,TricorBraun Flex,CM-24BAGS Packaging,ea,,,,,,
PKG-CM-LL,TricorBraun Flex,CM-LL Packaging,ea,,,,,,
PKG-DT-24BAGS,TricorBraun Flex,DT-24BAGS Packaging,ea,,,,,,
PKG-DT-LL,TricorBraun Flex,DT-LL Packaging,ea,,,,,,
PKG-EB-24BAGS,TricorBraun Flex,EB-24BAGS Packaging,ea,,,,,,
PKG-EB-LL,TricorBraun Flex,EB-LL Packaging,ea,,,,,,
PKG-EG-24BAGS,TricorBraun Flex,EG-24BAGS Packaging,ea,,,,,,
PKG-EG-LL,TricorBraun Flex,EG-LL Packaging,ea,,,,,,
PKG-EGC-24BAGS,TricorBraun Flex,EGC-24BAGS Packaging,ea,,,,,,
PKG-EGC-LL,TricorBraun Flex,EGC-LL Packaging,ea,,,,,,
PKG-FCSC-24BAGS,TricorBraun Flex,FCSC-24BAGS Packaging,ea,,,,,,
PKG-FCSC-LL,TricorBraun Flex,FCSC-LL Packaging,ea,,,,,,
PKG-GP-24BAGS,TricorBraun Flex,GP-24BAGS Packaging,ea,,,,,,
PKG-GP-LL,TricorBraun Flex,GP-LL Packaging,ea,,,,,,
PKG-GT-24BAGS,TricorBraun Flex,GT-24BAGS Packaging,ea,,,,,,
PKG-GT-LL,TricorBraun Flex,GT-LL Packaging,ea,,,,,,
PKG-JT-24BAGS,TricorBraun Flex,JT-24BAGS Packaging,ea,,,,,,
PKG-JT-LL,TricorBraun Flex,JT-LL Packaging,ea,,,,,,
PKG-LGT-24BAGS,TricorBraun Flex,LGT-24BAGS Packaging,ea,,,,,,
PKG-LGT-LL,TricorBraun Flex,LGT-LL Packaging,ea,,,,,,
PKG-LM-24BAGS,TricorBraun Flex,LM-24BAGS Packaging,ea,,,,,,
PKG-LM-LL,TricorBraun Flex,LM-LL Packaging,ea,,,,,,
PKG-LT-24BAGS,TricorBraun Flex,LT-24BAGS Packaging,ea,,,,,,
PKG-LT-LL,TricorBraun Flex,LT-LL Packaging,ea,,,,,,
PKG-MT-24BAGS,TricorBraun Flex,MT-24BAGS Packaging,ea,,,,,,
PKG-MT-LL,TricorBraun Flex,MT-LL Packaging,ea,,,,,,
PKG-NB-24BAGS,TricorBraun Flex,NB-24BAGS Packaging,ea,,,,,,
PKG-NB-LL,TricorBraun Flex,NB-LL Packaging,ea,,,,,,
PKG-OSCT-24BAGS,TricorBraun Flex,OSCT-24BAGS Packaging,ea,,,,,,
PKG-OSCT-LL,TricorBraun Flex,OSCT-LL Packaging,ea,,,,,,
PKG-PL-24BAGS,TricorBraun Flex,PL-24BAGS Packaging,ea,,,,,,
PKG-PL-LL,TricorBraun Flex,PL-LL Packaging,ea,,,,,,
PKG-RC-24BAGS,TricorBraun Flex,RC-24BAGS Packaging,ea,,,,,,
PKG-RC-LL,TricorBraun Flex,RC-LL Packaging,ea,,,,,,
PKG-RKT-24BAGS,TricorBraun Flex,RKT-24BAGS Packaging,ea,,,,,,
PKG-RKT-LL,TricorBraun Flex,RKT-LL Packaging,ea,,,,,,
PKG-SC-24BAGS,TricorBraun Flex,SC-24BAGS Packaging,ea,,,,,,
PKG-SC-LL,TricorBraun Flex,SC-LL Packaging,ea,,,,,,
PKG-SGT-24BAGS,TricorBraun Flex,SGT-24BAGS Packaging,ea,,,,,,
PKG-SGT-LL,TricorBraun Flex,SGT-LL Packaging,ea,,,,,,
PKG-ST-24BAGS,TricorBraun Flex,ST-24BAGS Packaging,ea,,,,,,
PKG-ST-LL,TricorBraun Flex,ST-LL Packaging,ea,,,,,,
PKG-TG-24BAGS,TricorBraun Flex,TG-24BAGS Packaging,ea,,,,,,
PKG-TG-LL,TricorBraun Flex,TG-LL Packaging,ea,,,,,,
PKG-WBH-24BAGS,TricorBraun Flex,WBH-24BAGS Packaging,ea,,,,,,
PKG-WBH-LL,TricorBraun Flex,WBH-LL Packaging,ea,,,,,,