Tea,Finished SKU,Component SKU,Component Name,Qty per Unit,Finished Units (from PO Cal),Component Units Needed,Supplier,Unit Cost,Ext Cost
Blackberry Tea Retail 24 CT,BB-24BAGS,PKG-BB-24BAGS,BB-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Blueberry Green Tea Retail 24 CT,BBGT-24BAGS,PKG-BBGT-24BAGS,BBGT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Blueberry Green Tea Loose Leaf 6 Ounces,BBGT-LL,PKG-BBGT-LL,BBGT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Blackberry Tea Loose Leaf 6 Ounces,BB-LL,PKG-BB-LL,BB-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Blue Tea Retail 24 CT,BT-24BAGS,PKG-BT-24BAGS,BT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Blue Tea Loose Leaf 6 Ounces,BT-LL,PKG-BT-LL,BT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Coconut Assam Retail 24 CT,CA-24BAGS,PKG-CA-24BAGS,CA-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Coconut Assam Loose Leaf 6 Ounces,CA-LL,PKG-CA-LL,CA-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Citrus Chamomile Retail 24 CT,CC-24BAGS,PKG-CC-24BAGS,CC-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Coconut Chai Retail 24 CT,CCHAI-24BAGS,PKG-CCHAI-24BAGS,CCHAI-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Coconut Chai Loose Leaf 8 Ounces,CCHAI-LL,PKG-CCHAI-LL,CCHAI-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Citrus Chamomile Loose Leaf 3 Ounces,CC-LL,PKG-CC-LL,CC-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Campfire Blend Retail 24 CT,CF-24BAGS,PKG-CF-24BAGS,CF-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Campfire Blend Loose Leaf 6 Ounces,CF-LL,PKG-CF-LL,CF-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Chamomile Mint Retail 24 CT,CM-24BAGS,PKG-CM-24BAGS,CM-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Chamomile Mint Loose Leaf 3 Ounces,CM-LL,PKG-CM-LL,CM-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Detox Tea Retail 24 CT,DT-24BAGS,PKG-DT-24BAGS,DT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Detox Tea Loose Leaf 4 Ounces,DT-LL,PKG-DT-LL,DT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
English Breakfast Retail 24 CT,EB-24BAGS,PKG-EB-24BAGS,EB-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
English Breakfast Loose Leaf 6 Ounces,EB-LL,PKG-EB-LL,EB-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Earl Grey Retail 24 CT,EG-24BAGS,PKG-EG-24BAGS,EG-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Earl Grey Chai Retail 24 CT,EGC-24BAGS,PKG-EGC-24BAGS,EGC-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Earl Grey Chai Loose Leaf 8 Ounces,EGC-LL,PKG-EGC-LL,EGC-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Earl Grey Loose Leaf 6 Ounces,EG-LL,PKG-EG-LL,EG-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Fresh Crafted Spiced Chai Retail 24 CT,FCSC-24BAGS,PKG-FCSC-24BAGS,FCSC-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Fresh Crafted Spiced Chai Loose Leaf 8 Ounces,FCSC-LL,PKG-FCSC-LL,FCSC-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Ginger Peach Retail 24 CT,GP-24BAGS,PKG-GP-24BAGS,GP-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Ginger Peach Loose Leaf 6 Ounces,GP-LL,PKG-GP-LL,GP-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Green Tea (Chun Mee) Retail 24 CT,GT-24BAGS,PKG-GT-24BAGS,GT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Green Tea (Chun Mee) Loose Leaf 6 Ounces,GT-LL,PKG-GT-LL,GT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Jasmine Tea Retail 24 CT,JT-24BAGS,PKG-JT-24BAGS,JT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Jasmine Tea Loose Leaf 6 Ounces,JT-LL,PKG-JT-LL,JT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Lemon Ginger Tonic Retail 24 CT,LGT-24BAGS,PKG-LGT-24BAGS,LGT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Lemon Ginger Tonic Loose Leaf 5 Ounces,LGT-LL,PKG-LGT-LL,LGT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Lemon Mint Retail 24 CT,LM-24BAGS,PKG-LM-24BAGS,LM-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Lemon Mint Tea Loose Leaf 4 Ounces,LM-LL,PKG-LM-LL,LM-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Lavender Tea Retail 24 CT,LT-24BAGS,PKG-LT-24BAGS,LT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Lavender Tea Loose Leaf 5 Ounces,LT-LL,PKG-LT-LL,LT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Mango Tea Retail 24 CT,MT-24BAGS,PKG-MT-24BAGS,MT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Mango Tea Loose Leaf 6 Ounces,MT-LL,PKG-MT-LL,MT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Northwest Breakfast Retail 24 CT,NB-24BAGS,PKG-NB-24BAGS,NB-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Northwest Breakfast Loose Leaf 6 Ounces,NB-LL,PKG-NB-LL,NB-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Orange Spice Cinnamon Retail 24 CT,OSCT-24BAGS,PKG-OSCT-24BAGS,OSCT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Orange Spice Cinnamon Loose Leaf 6 Ounces,OSCT-LL,PKG-OSCT-LL,OSCT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Peppermint Leaf Retail 24 CT,PL-24BAGS,PKG-PL-24BAGS,PL-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Peppermint Leaf Loose Leaf 3 Ounces,PL-LL,PKG-PL-LL,PL-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Rooibos Chai Retail 24 CT,RC-24BAGS,PKG-RC-24BAGS,RC-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Rooibos Chai Loose Leaf 8 Ounces,RC-LL,PKG-RC-LL,RC-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Rice Krispy Tea Retail 24 CT,RKT-24BAGS,PKG-RKT-24BAGS,RKT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Rice Krispy Tea Loose Leaf 6 Ounces,RKT-LL,PKG-RKT-LL,RKT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Sleepy Chai Retail 24 CT,SC-24BAGS,PKG-SC-24BAGS,SC-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Sleepy Chai Loose Leaf 8 Ounces,SC-LL,PKG-SC-LL,SC-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Strawberry Green Tea Retail 24 CT,SGT-24BAGS,PKG-SGT-24BAGS,SGT-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Strawberry Green Tea Loose Leaf 6 Ounces,SGT-LL,PKG-SGT-LL,SGT-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Sore Throat Retail 24 CT,ST-24BAGS,PKG-ST-24BAGS,ST-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Sore Throat Loose Leaf 4 Ounces,ST-LL,PKG-ST-LL,ST-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Tropical Green Tea Retail 24 CT,TG-24BAGS,PKG-TG-24BAGS,TG-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Tropical Green Tea Loose Leaf 6 Ounces,TG-LL,PKG-TG-LL,TG-LL Packaging,1,,0,TricorBraun Flex,0.654,0
Wild Berry Hibiscus Retail 24 CT,WBH-24BAGS,PKG-WBH-24BAGS,WBH-24BAGS Packaging,1,,0,TricorBraun Flex,0.654,0
Wild Berry Hibiscus Loose Leaf 6 Ounces,WBH-LL,PKG-WBH-LL,WBH-LL Packaging,1,,0,TricorBraun Flex,0.654,0